customer_id,age,gender,country,account_type,account_balance,credit_score,join_date
147,32,Male,UAE,Current,28322.81,397,2022-12-01
148,42,Male,UAE,Current,46829.78,407,2020-03-30
149,61,Female,Indonesia,Savings,47748.31,780,2022-10-04
150,60,Female,UAE,Current,5975.16,821,2025-01-11
151,31,Female,UAE,Savings,41291.64,553,2025-01-29
152,58,Male,Yemen,Savings,24543.0,691,2019-12-25
153,48,Female,Indonesia,Savings,41019.24,454,2017-12-31
154,51,Male,Yemen,Savings,10900.14,557,2019-10-07
155,54,Male,UAE,Savings,30496.27,601,2022-02-24
156,38,Female,Indonesia,Savings,3766.02,711,2020-02-02
157,48,Male,UAE,Current,28979.22,401,2020-04-26
158,49,Male,Yemen,Current,44958.58,778,2023-12-01
159,68,Female,UAE,Current,19826.59,416,2022-08-28
160,26,Female,UAE,Current,30651.94,664,2021-07-25
161,65,Female,UAE,Savings,42710.9,723,2019-04-10
162,66,Male,UAE,Savings,20010.43,365,2021-07-14
163,56,Female,Indonesia,Current,31383.86,658,2019-05-02
164,72,Female,UAE,Current,32491.64,303,2024-10-09
165,27,Female,Malaysia,Current,21711.51,496,2024-04-16
166,75,Male,Yemen,Current,35478.63,401,2019-06-05
167,75,Male,Yemen,Current,34546.75,699,2025-09-23
168,35,Male,Malaysia,Current,34697.6,644,2022-09-25
169,74,Female,Indonesia,Current,45834.16,745,2021-10-31
170,22,Female,Malaysia,Savings,22382.62,538,2022-04-18
171,62,Male,Malaysia,Current,15565.31,552,2023-02-07
172,70,Male,Indonesia,Current,40991.31,720,2021-05-16
173,20,Male,Yemen,Current,47226.82,642,2018-09-25
174,41,Female,UAE,Current,4273.06,301,2023-05-11
175,36,Female,Yemen,Savings,47209.74,710,2020-07-07
176,58,Female,UAE,Savings,34520.49,474,2019-03-29
177,66,Male,UAE,Savings,30042.94,390,2020-03-15
178,50,Male,Indonesia,Savings,49358.49,328,2021-05-19
179,66,Male,Indonesia,Current,45941.42,827,2019-10-10
180,19,Female,Indonesia,Current,23964.95,614,2024-07-21
181,38,Female,Malaysia,Savings,35981.05,662,2019-11-17
182,74,Male,Indonesia,Savings,33236.69,393,2025-09-14
183,26,Male,Malaysia,Current,9284.34,794,2024-05-13
184,41,Female,Indonesia,Current,19827.99,730,2018-05-22
185,62,Female,Indonesia,Current,15108.83,453,2018-03-06
186,57,Female,Malaysia,Current,39756.15,840,2022-07-16
187,27,Female,Malaysia,Savings,46042.3,356,2020-10-19
188,21,Female,Malaysia,Savings,33664.61,413,2016-02-04
189,71,Male,Yemen,Savings,11111.57,674,2018-08-17
190,23,Male,Yemen,Savings,1519.5,535,2020-08-17
191,56,Male,Malaysia,Current,6867.84,816,2017-04-06
192,28,Male,Malaysia,Current,42343.62,504,2018-10-30
193,52,Female,Indonesia,Current,7814.53,350,2017-02-08
194,29,Male,Yemen,Current,40271.1,395,2019-09-20
195,42,Female,Malaysia,Savings,46506.85,818,2017-08-26
196,73,Female,Yemen,Savings,35312.28,803,2018-10-02
197,31,Female,Yemen,Savings,11684.4,799,2022-05-19
198,45,Female,Yemen,Savings,46299.18,634,2019-03-29
199,60,Male,Yemen,Current,31246.65,530,2019-12-04
200,46,Female,Malaysia,Savings,14988.85,316,2024-03-13
201,37,Male,Malaysia,Savings,15108.87,409,2022-04-22
202,62,Male,UAE,Current,7723.24,604,2022-10-22
203,42,Female,Malaysia,Current,26072.99,578,2023-09-02
204,33,Male,UAE,Current,32712.1,617,2024-03-19
205,58,Female,Malaysia,Savings,3566.98,399,2024-05-06
206,26,Female,Yemen,Current,19938.36,369,2021-01-08
207,46,Male,Indonesia,Current,17566.18,764,2016-05-16
208,42,Male,UAE,Savings,11335.71,533,2023-10-11
209,26,Female,Indonesia,Savings,16127.24,405,2019-03-12
210,22,Male,Malaysia,Savings,14626.32,333,2019-08-30
211,25,Female,Malaysia,Savings,7614.51,661,2024-02-20
212,26,Female,UAE,Savings,21377.35,764,2025-03-04
213,60,Male,UAE,Current,30230.46,719,2018-06-20
214,30,Female,Yemen,Current,37449.6,465,2021-07-29
215,37,Female,Malaysia,Current,7224.49,542,2017-10-20
216,69,Female,Indonesia,Current,12145.42,530,2025-03-15
217,70,Female,Indonesia,Savings,2696.96,506,2020-03-16
218,64,Male,Malaysia,Savings,19789.5,715,2022-03-31
219,35,Male,UAE,Current,28001.84,606,2022-02-12
220,40,Female,Yemen,Savings,21968.74,349,2025-07-11
221,38,Male,Indonesia,Current,12087.69,840,2025-08-25
222,48,Female,UAE,Current,37109.39,663,2020-03-04
223,44,Female,Malaysia,Savings,34677.14,419,2016-04-17
224,28,Female,UAE,Savings,44285.86,469,2024-05-14
225,63,Female,Yemen,Current,48071.12,464,2025-09-26
226,29,Female,Yemen,Savings,9004.66,528,2021-09-26
227,58,Female,Indonesia,Current,2215.78,576,2022-03-08
228,47,Male,Indonesia,Current,22189.08,488,2022-10-31
229,20,Female,UAE,Savings,4782.17,772,2022-08-21
230,42,Female,UAE,Savings,37961.51,387,2023-04-06
231,24,Male,Indonesia,Current,26739.34,543,2016-08-25
232,72,Female,Malaysia,Savings,27465.8,499,2018-03-21
233,61,Male,Yemen,Current,27851.27,735,2016-09-07
234,54,Male,UAE,Current,7415.46,637,2017-12-07
235,18,Male,Indonesia,Current,20243.83,512,2017-03-15
236,46,Male,UAE,Current,29753.7,489,2021-12-18
237,30,Female,Yemen,Savings,16659.15,682,2023-09-29
238,40,Male,Yemen,Savings,46547.05,341,2016-07-21
239,23,Female,UAE,Savings,27814.66,731,2023-12-13
240,51,Female,UAE,Savings,7434.13,749,2023-06-18
241,45,Female,UAE,Current,18070.31,669,2016-01-25
242,28,Male,Yemen,Savings,46929.72,507,2017-04-24
243,28,Male,Yemen,Savings,13336.48,525,2022-05-19
244,31,Female,Malaysia,Current,1296.73,412,2022-03-12
245,54,Male,Malaysia,Current,31003.08,318,2020-04-29
246,35,Male,Yemen,Current,27571.45,422,2021-02-14
247,44,Male,Yemen,Current,31365.84,328,2023-12-09
248,46,Male,UAE,Current,19794.63,750,2022-01-17
249,56,Female,Indonesia,Current,48655.26,457,2017-10-29
250,48,Female,Yemen,Savings,1941.3,791,2020-11-15
251,50,Male,Malaysia,Current,11808.77,590,2016-03-11
252,18,Male,UAE,Current,7202.27,658,2024-11-12
253,64,Male,UAE,Current,33949.91,306,2023-03-29
254,23,Male,UAE,Current,47676.2,665,2024-12-09
255,45,Female,Indonesia,Savings,32260.84,514,2021-07-19
256,59,Male,Indonesia,Current,46450.21,566,2025-01-10
257,45,Female,Indonesia,Current,19787.4,534,2023-04-26
258,18,Female,UAE,Current,33964.42,444,2021-07-15
259,22,Female,Malaysia,Current,37481.26,548,2021-03-25
260,66,Female,Indonesia,Current,14225.23,730,2024-11-30
261,39,Male,Yemen,Savings,4251.73,708,2025-05-08
262,30,Female,Yemen,Current,39385.66,373,2024-02-26
263,37,Female,Malaysia,Savings,4244.47,360,2021-01-24
264,73,Male,Indonesia,Savings,31547.18,821,2021-02-18
265,41,Female,Indonesia,Savings,31038.26,578,2022-09-23
266,63,Female,Malaysia,Savings,12785.14,581,2020-09-23
267,24,Male,Malaysia,Current,29122.93,586,2020-06-28
268,43,Male,Indonesia,Savings,21245.55,524,2021-08-11
269,30,Female,Yemen,Current,6623.35,378,2025-08-14
270,67,Female,Yemen,Savings,7164.39,750,2024-05-29
271,75,Male,Yemen,Savings,49244.7,510,2024-07-26
272,68,Male,Malaysia,Savings,9829.17,326,2023-10-14
273,24,Male,Indonesia,Savings,34116.63,582,2017-03-16
274,41,Male,Malaysia,Savings,10899.07,707,2020-06-01
275,50,Female,Malaysia,Current,2296.56,538,2017-08-04
276,62,Male,Malaysia,Current,41113.35,303,2025-08-29
277,49,Female,Malaysia,Current,21054.65,446,2018-10-25
278,27,Male,Yemen,Savings,44707.67,463,2017-05-30
279,22,Female,UAE,Savings,20529.94,815,2021-01-06
280,42,Male,UAE,Current,36219.55,683,2018-10-17
281,44,Male,Malaysia,Savings,10973.47,423,2025-07-07
282,26,Male,Yemen,Current,41662.14,371,2019-10-20
283,40,Female,UAE,Current,45028.79,333,2020-05-27
284,73,Male,Yemen,Current,32030.22,789,2018-10-20
285,30,Male,Yemen,Savings,9788.67,690,2020-12-21
286,71,Male,Indonesia,Savings,27383.71,395,2019-10-19
287,68,Male,Malaysia,Savings,7516.64,377,2024-04-22
288,21,Female,UAE,Current,978.03,422,2018-07-01
289,41,Female,Indonesia,Savings,5643.43,480,2020-07-16
290,51,Female,Yemen,Savings,18201.0,747,2025-01-22
291,43,Female,UAE,Current,21337.07,301,2024-08-31
292,34,Male,UAE,Current,26818.6,798,2017-07-08
293,48,Male,Malaysia,Current,20832.28,385,2016-12-18
294,47,Female,Indonesia,Current,43212.54,440,2019-05-12
295,53,Female,Indonesia,Current,13166.75,656,2020-09-05
296,35,Female,Malaysia,Current,40012.05,832,2019-04-17
297,52,Female,Yemen,Current,27060.87,775,2018-05-24
298,36,Male,UAE,Savings,33819.14,639,2023-05-20
299,56,Female,Yemen,Savings,40074.21,323,2016-11-29
300,43,Female,Indonesia,Savings,28901.26,341,2018-05-09
301,55,Male,Malaysia,Current,29312.24,658,2023-07-20
302,30,Male,UAE,Current,22050.18,307,2017-03-28
303,46,Male,Malaysia,Savings,9469.46,612,2019-07-19
304,33,Male,Yemen,Savings,46804.5,741,2019-11-23
305,56,Female,UAE,Current,4916.41,777,2021-03-04
306,36,Male,Yemen,Current,41332.93,428,2023-02-09
307,75,Male,Yemen,Savings,7914.05,321,2023-10-07
308,56,Female,Malaysia,Savings,25519.07,446,2025-03-22
309,20,Male,Malaysia,Savings,14814.13,774,2021-07-23
310,53,Male,Indonesia,Savings,5356.84,544,2023-05-24
311,32,Male,Malaysia,Current,7381.66,448,2025-08-28
312,22,Male,Indonesia,Current,3126.16,439,2023-12-03
313,39,Male,UAE,Savings,21323.85,753,2020-08-25
314,37,Female,Indonesia,Current,21357.02,797,2021-07-08
315,31,Female,Malaysia,Savings,45871.64,473,2020-11-12
316,74,Male,UAE,Current,4782.16,517,2022-04-11
317,63,Female,Malaysia,Current,35034.9,828,2023-04-03
318,50,Female,UAE,Current,27550.68,599,2017-06-08
319,33,Female,Malaysia,Current,33416.48,626,2022-02-10
320,26,Female,UAE,Savings,10251.39,523,2022-11-20
321,21,Male,Indonesia,Savings,2628.63,843,2023-04-25
322,28,Male,UAE,Savings,14681.12,806,2022-04-10
323,64,Female,Indonesia,Savings,49498.02,551,2024-06-23
324,59,Male,UAE,Current,41298.53,566,2016-02-19
325,47,Female,Malaysia,Savings,34527.12,398,2017-01-26
326,75,Male,UAE,Current,26641.1,557,2019-07-13
327,70,Male,Indonesia,Current,46942.41,369,2022-07-14
328,67,Male,UAE,Current,17576.07,548,2021-07-12
329,28,Male,UAE,Savings,23836.69,762,2024-01-12
330,33,Female,Indonesia,Savings,47960.27,366,2016-10-11
331,44,Male,Indonesia,Current,24644.73,644,2021-09-02
332,62,Female,Yemen,Savings,45653.62,631,2022-08-22
333,74,Male,Malaysia,Current,37763.61,631,2019-01-23
334,20,Female,UAE,Current,34114.61,419,2017-05-11
335,72,Male,Indonesia,Current,45187.48,841,2017-10-07
336,41,Male,Yemen,Savings,32373.56,681,2025-01-10
337,18,Female,Indonesia,Current,14288.84,514,2025-05-03
338,22,Male,Malaysia,Current,39237.51,640,2018-06-27
339,46,Female,Indonesia,Current,8287.22,356,2023-07-11
340,71,Male,Malaysia,Current,29258.89,767,2017-07-13
341,56,Female,Indonesia,Savings,7316.86,735,2018-06-30
342,48,Male,Yemen,Savings,45898.12,419,2017-11-19
343,24,Female,Yemen,Savings,20917.5,450,2023-01-05
344,37,Male,Yemen,Savings,11620.87,355,2017-08-04
345,41,Female,Indonesia,Savings,27398.9,824,2023-02-02
346,38,Female,UAE,Current,27354.14,351,2022-07-19
347,43,Female,Yemen,Current,49771.27,343,2018-09-02
348,55,Female,UAE,Current,47700.57,539,2016-06-13
349,34,Male,Yemen,Savings,4456.91,487,2024-06-03
350,57,Male,UAE,Savings,34275.81,413,2018-05-13
351,55,Male,Malaysia,Current,44718.31,691,2023-06-25
352,28,Female,Indonesia,Savings,31139.9,811,2025-11-11
353,20,Female,Malaysia,Savings,18013.05,654,2017-09-24
354,25,Male,UAE,Savings,20322.07,624,2019-01-19
355,36,Female,Yemen,Savings,40078.86,658,2024-05-23
356,72,Female,Malaysia,Savings,38458.59,345,2021-10-11
357,38,Female,Yemen,Current,30876.4,741,2023-11-29
358,32,Male,Malaysia,Current,14911.54,718,2017-12-14
359,75,Female,Yemen,Savings,13600.17,765,2016-09-18
360,51,Female,Indonesia,Current,44507.47,327,2022-08-07
361,60,Male,Indonesia,Savings,3725.69,570,2021-06-15
362,20,Female,Yemen,Current,4178.34,637,2017-12-02
363,40,Male,Malaysia,Savings,22959.36,404,2024-07-20
364,68,Male,Malaysia,Savings,15069.12,750,2019-03-17
365,29,Male,Malaysia,Savings,39301.12,346,2018-10-17
366,47,Female,Malaysia,Current,7546.77,849,2021-12-27
367,59,Male,Malaysia,Current,19370.78,518,2022-11-01
368,23,Female,UAE,Savings,37577.63,640,2020-12-23
369,36,Female,Malaysia,Current,46581.89,523,2025-03-24
370,41,Male,UAE,Current,42803.09,586,2019-04-13
371,42,Male,Yemen,Savings,29482.75,598,2024-04-02
372,23,Male,UAE,Current,22077.0,450,2018-02-26
373,52,Male,Indonesia,Current,15773.27,557,2025-02-28
374,57,Male,UAE,Savings,9009.13,706,2018-02-15
375,67,Male,Malaysia,Current,27249.5,759,2023-04-26
376,61,Female,UAE,Current,45501.72,775,2022-01-08
377,27,Female,Yemen,Savings,31016.52,648,2016-05-10
378,30,Male,Indonesia,Savings,37585.37,620,2022-08-21
379,27,Male,Indonesia,Current,39218.35,605,2017-08-25
380,72,Male,Indonesia,Savings,30817.44,673,2018-09-10
381,52,Male,Yemen,Current,43120.28,786,2025-06-29
382,59,Female,Malaysia,Savings,27033.43,314,2023-01-23
383,24,Female,UAE,Current,38048.59,620,2021-07-04
384,19,Female,Indonesia,Savings,43371.89,618,2018-06-01
385,74,Male,Malaysia,Savings,46172.33,404,2023-11-11
386,66,Female,UAE,Savings,15869.33,559,2016-08-24
387,75,Male,Malaysia,Current,32768.55,479,2020-09-20
388,46,Female,UAE,Current,20332.84,563,2019-03-24
389,71,Male,Yemen,Current,37879.03,773,2024-09-13
390,37,Male,UAE,Current,23845.56,452,2024-10-01
391,28,Female,Malaysia,Savings,26948.73,502,2020-08-15
392,33,Female,Indonesia,Current,12019.09,789,2024-06-09
393,39,Male,UAE,Current,24482.17,772,2022-12-20
394,71,Female,Malaysia,Current,31766.12,810,2021-09-06
395,51,Female,Yemen,Savings,28997.85,445,2025-11-05
396,44,Male,Indonesia,Savings,20595.66,835,2016-07-30
397,38,Male,Malaysia,Savings,44577.69,312,2018-12-19
398,55,Female,Yemen,Current,33430.29,615,2017-11-14
399,46,Male,Malaysia,Savings,13880.01,749,2023-08-10
400,30,Female,UAE,Savings,18910.41,504,2018-09-14
401,22,Female,UAE,Savings,31801.92,763,2016-05-22
402,26,Male,Yemen,Current,44390.0,338,2017-07-03
403,66,Male,Yemen,Savings,3176.09,701,2019-02-13
404,25,Male,Indonesia,Savings,48372.44,573,2025-07-06
405,21,Female,Yemen,Current,16671.85,468,2022-10-02
406,29,Female,Yemen,Current,32269.87,797,2023-10-06
407,41,Female,UAE,Savings,28307.37,327,2019-07-05
408,18,Male,Malaysia,Savings,9969.22,404,2021-08-11
409,65,Male,UAE,Savings,11348.45,802,2025-12-06
410,60,Male,Indonesia,Current,34397.58,613,2025-04-03
411,32,Male,Malaysia,Current,20148.72,397,2019-10-12
412,57,Female,Yemen,Current,12043.36,846,2025-01-29
413,23,Female,Indonesia,Current,37295.38,302,2018-07-14
414,20,Male,Yemen,Current,32544.4,414,2017-06-14
415,39,Male,Malaysia,Savings,21066.58,580,2017-10-29
416,33,Female,UAE,Current,24434.24,527,2018-05-06
417,74,Male,Malaysia,Current,42923.56,545,2021-03-19
418,57,Male,Yemen,Current,3543.35,653,2022-07-05
419,21,Female,UAE,Current,18875.39,681,2019-04-05
420,47,Male,Indonesia,Savings,23504.72,577,2016-08-03
421,25,Male,Yemen,Savings,41330.94,516,2020-04-02
422,57,Female,Yemen,Current,22989.38,812,2016-10-09
423,51,Male,Malaysia,Savings,10254.79,555,2023-05-30
424,54,Male,Indonesia,Savings,43580.61,775,2023-04-13
425,39,Female,Malaysia,Savings,42513.13,687,2019-01-04
426,32,Male,UAE,Savings,8351.28,612,2020-03-04
427,53,Female,Malaysia,Current,11154.7,454,2022-10-06
428,66,Male,Malaysia,Savings,15461.02,455,2024-01-08
429,38,Male,Yemen,Savings,5116.88,623,2023-01-02
430,20,Male,UAE,Current,43379.17,841,2016-03-25
431,35,Female,UAE,Savings,21995.21,671,2017-05-09
432,58,Male,Indonesia,Savings,1776.8,806,2020-02-19
433,20,Male,UAE,Current,44374.44,400,2024-04-29
434,32,Male,Indonesia,Current,34412.63,813,2019-12-18
435,49,Female,UAE,Savings,12142.08,328,2022-12-29
436,44,Male,Indonesia,Current,31828.87,717,2022-02-03
437,59,Male,UAE,Current,17710.87,767,2024-01-01
438,26,Female,Indonesia,Current,12832.05,726,2018-11-20
439,73,Female,Indonesia,Savings,46310.12,787,2017-12-11
440,67,Female,UAE,Savings,44214.18,515,2021-03-25
441,51,Male,Indonesia,Current,20773.02,714,2023-07-23
442,30,Female,Malaysia,Current,28801.9,831,2018-08-08
443,32,Female,Indonesia,Savings,27138.57,542,2025-10-03
444,54,Female,Malaysia,Savings,2658.16,613,2022-02-03
445,33,Female,Yemen,Savings,43723.53,488,2024-12-03
446,57,Male,Indonesia,Savings,17800.58,690,2020-09-08
447,44,Female,Indonesia,Current,5193.08,579,2020-10-23
448,41,Male,Malaysia,Current,20152.82,526,2024-08-23
449,30,Male,Indonesia,Current,46579.71,610,2025-08-26
450,46,Male,Indonesia,Current,13262.4,587,2017-01-03
451,49,Female,Indonesia,Current,13771.32,732,2016-01-27
452,58,Male,Yemen,Current,23706.18,707,2017-03-13
453,46,Female,Indonesia,Savings,24694.84,377,2023-01-07
454,70,Male,Yemen,Savings,34730.49,794,2023-10-31
455,20,Male,UAE,Current,37744.7,705,2019-09-10
456,56,Female,Malaysia,Current,7938.83,745,2023-07-17
457,46,Male,Malaysia,Savings,39231.08,384,2021-10-31
458,38,Female,Yemen,Current,8446.64,707,2017-04-11
459,74,Female,Malaysia,Savings,43069.78,746,2017-10-30
460,35,Male,Indonesia,Current,24482.26,736,2017-04-14
461,57,Female,Yemen,Current,8037.68,460,2023-09-03
462,26,Male,Malaysia,Savings,26368.91,359,2019-07-19
463,53,Male,Malaysia,Savings,32386.44,794,2020-05-24
464,48,Male,UAE,Current,35587.33,584,2024-12-04
465,44,Male,Indonesia,Savings,42433.98,484,2022-10-10
466,47,Female,Yemen,Savings,47815.59,385,2022-08-07
467,21,Female,Yemen,Current,9423.21,450,2017-09-04
468,59,Female,Malaysia,Current,48131.02,334,2016-10-14
